model,sea,metric,value,forecast_len,step
conv2d,Barents Sea,mae,0.067574605345726,52,1w
conv2d,Barents Sea,rmse,0.1686531901359558,52,1w
conv2d,Barents Sea,psnr,15.46010971069336,52,1w
conv2d,Barents Sea,ssim,0.6960434913635254,52,1w
conv2d,Barents Sea,iou,0.6476883292198181,52,1w
conv2d,Barents Sea,bin_accuracy,0.9370709657669068,52,1w
conv2d,Chukchi Sea,mae,0.0691001191735267,52,1w
conv2d,Chukchi Sea,rmse,0.1532154679298401,52,1w
conv2d,Chukchi Sea,psnr,16.293947219848633,52,1w
conv2d,Chukchi Sea,ssim,0.6515103578567505,52,1w
conv2d,Chukchi Sea,iou,0.8659430146217346,52,1w
conv2d,Chukchi Sea,bin_accuracy,0.947459042072296,52,1w
conv2d,Kara Sea,mae,0.0657018423080444,52,1w
conv2d,Kara Sea,rmse,0.1589394211769104,52,1w
conv2d,Kara Sea,psnr,15.97536849975586,52,1w
conv2d,Kara Sea,ssim,0.7258310914039612,52,1w
conv2d,Kara Sea,iou,0.7858521938323975,52,1w
conv2d,Kara Sea,bin_accuracy,0.9395495057106018,52,1w
conv2d,Laptev Sea,mae,0.0433395244181156,52,1w
conv2d,Laptev Sea,rmse,0.1235820800065994,52,1w
conv2d,Laptev Sea,psnr,18.160892486572266,52,1w
conv2d,Laptev Sea,ssim,0.8371628522872925,52,1w
conv2d,Laptev Sea,iou,0.8590916395187378,52,1w
conv2d,Laptev Sea,bin_accuracy,0.964288294315338,52,1w
conv2d,Sea of Japan,mae,0.0098413862287998,52,1w
conv2d,Sea of Japan,rmse,0.0773930996656417,52,1w
conv2d,Sea of Japan,psnr,22.22595596313477,52,1w
conv2d,Sea of Japan,ssim,0.9220214486122132,52,1w
conv2d,Sea of Japan,iou,0.0,52,1w
conv2d,Sea of Japan,bin_accuracy,0.9943556785583496,52,1w
conv3d,Kara Sea,mae,0.1495235934853553,52,1w
conv3d,Kara Sea,rmse,0.3035390526056289,52,1w
conv3d,Kara Sea,psnr,10.358038425445557,52,1w
conv3d,Kara Sea,ssim,0.5895349681377411,52,1w
conv3d,Kara Sea,iou,0.5593975186347961,52,1w
conv3d,Kara Sea,bin_accuracy,0.8442450165748596,52,1w
conv3d,Barents Sea,mae,0.1138460077345371,52,1w
conv3d,Barents Sea,rmse,0.2542707175016403,52,1w
conv3d,Barents Sea,psnr,11.894088745117188,52,1w
conv3d,Barents Sea,ssim,0.6181393265724182,52,1w
